ELIZABETH,10132,32.2
AINA,10105,10.4
MARIA FERNANDA,10011,40.2
MARCELINA,9959,68.7
ELOISA,9953,58.1
MARIA GRACIA,9919,50.1
ADELAIDA,9914,58.5
MARIA ASCENSION,9763,53.2
MARIA CANDELARIA,9689,48.6
ESMERALDA,9672,35.8
NEUS,9667,29.2
LYDIA,9593,23.6
MARIA DOLORS,9559,56.0
FLORA,9355,63.8
ALBA MARIA,9302,16.1
ANA CRISTINA,9260,33.2
MARIA PURIFICACION,9254,57.4
VISITACION,9193,66.5
IRIS,9120,16.4
KHADIJA,8989,31.3
VIOLETA,8938,27.6
FERNANDA,8871,60.0
AMAYA,8866,32.0
MICAELA,8853,58.7
ANE,8793,13.1
MARIA SAGRARIO,8669,55.3
AZUCENA,8667,41.7
IRIA,8633,14.4
MONSERRAT,8574,41.1
MARIA PINO,8503,52.2
MARIA AURORA,8487,51.4
PAULINA,8483,60.7
REGINA,8428,54.3
AVELINA,8424,67.6
LEYRE,8331,11.1
ANNA MARIA,8287,45.5
ANGELA MARIA,8202,34.5
JENIFER,8139,20.1
FUENSANTA,8082,54.1
FLORENCIA,8078,63.4
ESTIBALIZ,8026,28.0
ELENA MARIA,8014,32.9
MARIA BLANCA,8010,52.6
ANABEL,8001,22.1
DOLORS,7978,65.4
VIRTUDES,7952,62.9
DELFINA,7832,66.0
MARIA SOCORRO,7812,60.2
SALVADORA,7805,62.5
JIMENA,7795,7.3
GISELA,7733,19.2
FELIPA,7721,70.0
SEBASTIANA,7698,64.1
JESUSA,7665,71.7
MARIA AUXILIADORA,7663,42.9
LUISA MARIA,7593,41.0
JUSTA,7542,68.8
GENOVEVA,7506,59.1
DELIA,7487,45.0
ROSA ANA,7474,37.8
MARIA VALLE,7450,45.0
PATROCINIO,7440,67.3
LOLA,7406,8.2
ELIA,7286,35.5
MARIA GUADALUPE,7269,47.3
MARIA PALOMA,7246,46.8
MARTA MARIA,7236,34.9
YASMINA,7200,16.6
MARIA LUCIA,7152,44.7
MARIA ESTRELLA,7096,50.4
ALFONSA,7086,64.0
NAZARET,7033,16.1
IRINA,7030,28.2
ANGELICA,7022,38.6
LORENZA,7022,66.8
PALMIRA,7011,64.7
ISIDORA,7009,66.4
ANGELINA,7004,59.6
AUREA,7003,63.9
ARANTXA,6988,23.0
MARISOL,6937,42.4
AICHA,6886,38.4
MARIA GEMA,6874,38.6
SABINA,6853,53.5
OBDULIA,6809,66.3
EDURNE,6808,26.9
